"vascular","type","nerve type","parent","Child/emptiesinto","location","compartment"
"great saphenous","vein",,,,"From medial knee",
"small saphenous","vein",,"dorsal vein of the little toe","popliteal","lateral malleolus along lateral border of calcaneal tendon inlcines to the midline of the fibula and penetrates deep fascia ascends between the heads of the grastrocnemius","posterior leg"
"small saphenous","vein",,"dorsal venous arch","popliteal","lateral malleolus along lateral border of calcaneal tendon inlcines to the midline of the fibula and penetrates deep fascia ascends between the heads of the grastrocnemius","posterior leg"
"femoral","vein",,,"popliteal",,
"femoral","artery",,"external iliac","popliteal",,
"lateral cutaneous","vein",,"great saphenous",,,"medial thigh"
"superficial epigastric",,,,,,
"superficial external pudendal",,,,,,
"popliteal","vein",,"small saphenous","anterior tibial","popliteal fossa","knee"
"popliteal","vein",,"small saphenous","posterior tibial","popliteal fossa","knee"
"fibular","vein",,,,,
"obturator","vein",,,,,
"dorsal vein of the little toe","vein",,,,,
"dorsal venous arch","vein",,,,,
"Ilio-inguinal","nerve",,"L1",,,
"iliohypogastric","nerve",,"L1",,,
"genitofemoral","nerve",,"l1",,,
"genitofemoral","nerve",,"l2",,,
"femoral","nerve",,"l2",,,
"femoral","nerve",,"l3",,,
"femoral","nerve",,"l4",,,
"obturator","nerve",,"l2",,,
"obturator","nerve",,"l3",,,
"obturator","nerve",,"l4",,,
"superior gluteal","nerve",,"l4",,,
"superior gluteal","nerve",,"s1",,,
"sciatic","nerve",,"l4",,,
"sciatic","nerve",,"s1",,,
"sciatic","nerve",,"s2",,,
"sciatic","nerve",,"s3",,,
"tibial","nerve",,"sciatic",,,
"pudendal","nerve",,"s2",,,
"pudendal","nerve",,"s3",,,
"pudendal","nerve",,"s4",,,
"common fibular","nerve",,"l4",,,
"common fibular","nerve",,"s1",,,
"common fibular","nerve",,"s2",,,
"external iliac","artery",,"common iliac","femoral",,
"common iliac","artery",,"aorta",,,
"aorta","artery",,,,,
"internal iliac","artery",,"common iliac","obturator",,
"profunda femoris","artery",,"femoral",,,
"popliteal","artery",,"femoral","anterior tibial","Changes from femoral artery as it passes through the adductor hiatus","popliteal fossa"
"popliteal","artery",,"femoral","posterior tibial","Changes from femoral artery as it passes through the adductor hiatus","popliteal fossa"
"anterior tibial","artery",,"popliteal","dorsalis pedis ",,"posterior leg"
"posterior tibial","artery",,"popliteal","fibular",,"posterior leg"
"posterior tibial","artery",,"popliteal","circumflex fibular",,
"posterior tibial","artery",,"popliteal","lateral plantar",,
"posterior tibial","artery",,"popliteal","medial plantar",,
"dorsalis pedis","artery",,"anterior tibial","tarsal",,
"dorsalis pedis","artery",,"anterior tibial","arcuate",,
"dorsalis pedis","artery",,"anterior tibial","1st dorsal matatarsal",,
"dorsalis pedis","artery",,"anterior tibial","deep plantar arch",,
"deep plantar arch","artery",,"dorsalis pedis","3 perforating branches",,
"deep plantar arch","artery",,"dorsalis pedis","4 plantar metatarsal",,
"deep plantar arch","artery",,"dorsalis pedis","digital branch",,
"lateral plantar","artery",,"posterior tibial","deep plantar arch",,
"superior gluteal","artery",,"internal iliac","terminates",,
"inferior gluteal","artery",,"internal iliac","terminates",,
"geniculate","artery",,"popliteal",,,
"anterior medial malleolus","artery",,"anterior tibial","dorsalis pedis ",,
"dorsal scapular","nerve",,"c5 root",,,
"long thoracic","nerve","terminal","c5 root",,,
"long thoracic","nerve","terminal","c6 root",,,
"long thoracic","nerve","terminal","c7 root",,,
"suprascapular","nerve",,"superior trunk brachial plexus",,,
"subclavius","nerve","terminal","superior trunk brachial plexus",,,
"lateral pectoral","nerve","terminal","lateral cord brachial plexus",,,
"musculocutaneous","nerve",,"lateral cord brachial plexus","lateral cutaneous nerve of forearm",,
"medial pectoral","nerve",,"medial cord brachial plexus",,,
"medial cutaneous nerve of arm","nerve","terminal","medial cord brachial plexus",,,
"medial cutaneous nerve of forearm","nerve","terminal","medial cord brachial plexus",,,
"median","nerve","terminal","medial cord brachial plexus",,"upper limb",
"median","nerve","terminal","lateral cord brachial plexus",,"upper limb",
"ulnar","nerve","terminal","medial cord brachial plexus",,"upper limb",
"superior subscapular","nerve",,"posterior cord brachial plexus",,,
"thoracodorsal","nerve",,"posterior cord brachial plexus",,,
"axillary","nerve",,"posterior cord brachial plexus","superior lateral cutaneous nerve of arm",,
"radial","nerve","terminal","posterior cord brachial plexus",,,
"lateral root of median ","nerve","terminal","lateral cord brachial plexus",,,
"posterior cutaneous nerver of arm","nerve",,,"radial","upper limb","arm"
